plasmid	type
CP044395.1	community_1_subcommunity_2586
CP044391.1	community_1_subcommunity_2586
NZ_CP013323.1	community_1_subcommunity_2587
NZ_CP011623.1	community_1_subcommunity_2587
NZ_AP021911.1	community_1_subcommunity_2589
NZ_CP025578.1	community_1_subcommunity_2589
NZ_CP029448.1	community_1_subcommunity_2590
NZ_CP011641.1	community_1_subcommunity_2590
NZ_LR890584.1	community_1_subcommunity_2593
NZ_CP054255.1	community_1_subcommunity_2593
NZ_CP077280.1	community_1_subcommunity_2594
NZ_CP073237.1	community_1_subcommunity_2594
NZ_FO834904.1	community_1_subcommunity_2595
NZ_LR792630.1	community_1_subcommunity_2595
NZ_CP012903.1	community_1_subcommunity_2596
NC_020131.1	community_1_subcommunity_2596
NZ_LT991960.1	community_1_subcommunity_2598
NZ_AP022116.1	community_1_subcommunity_2598
NZ_CP013986.1	community_1_subcommunity_2599
NZ_AP024593.1	community_1_subcommunity_2599
NZ_CP020851.1	community_1_subcommunity_2600
NZ_CP020852.1	community_1_subcommunity_2600
NZ_CP056688.1	community_1_subcommunity_2601
NZ_CP024544.1	community_1_subcommunity_2601
NZ_CP056532.1	community_1_subcommunity_2602
NZ_KP125893.1	community_1_subcommunity_2602
NZ_CP067262.1	community_1_subcommunity_2603
NZ_CP063899.1	community_1_subcommunity_2603
NZ_CP019840.1	community_1_subcommunity_2605
NZ_CP022149.1	community_1_subcommunity_2605
NZ_LR890218.1	community_1_subcommunity_2606
NZ_LR890649.1	community_1_subcommunity_2606
CP009856.1	community_1_subcommunity_2607
NZ_CP008898.1	community_1_subcommunity_2607
NZ_CP020506.1	community_1_subcommunity_2608
NZ_CP020508.1	community_1_subcommunity_2608
NZ_CP048351.1	community_1_subcommunity_2610
NZ_MF156708.1	community_1_subcommunity_2610
CP012386.1	community_1_subcommunity_2611
CP012368.1	community_1_subcommunity_2611
LR962471.1	community_1_subcommunity_2612
LR962816.1	community_1_subcommunity_2612
CP012495.1	community_1_subcommunity_2613
NZ_CP012493.1	community_1_subcommunity_2613
NZ_CP012492.1	community_1_subcommunity_2614
CP012496.1	community_1_subcommunity_2614
NZ_CP013755.1	community_1_subcommunity_2618
NZ_CP013751.1	community_1_subcommunity_2618
NZ_CP017357.1	community_1_subcommunity_2619
NZ_CP017364.1	community_1_subcommunity_2619
NZ_CP025413.1	community_1_subcommunity_2621
CP018329.1	community_1_subcommunity_2621
NZ_CP028278.1	community_1_subcommunity_2622
CP018330.1	community_1_subcommunity_2622
NZ_CP040652.1	community_1_subcommunity_2625
NZ_CP040319.1	community_1_subcommunity_2625
NZ_CP031977.1	community_1_subcommunity_2626
NZ_CP031973.1	community_1_subcommunity_2626
NZ_CP024137.1	community_1_subcommunity_2627
CP024158.1	community_1_subcommunity_2627
NZ_KM063576.1	community_1_subcommunity_2630
NZ_CP019031.1	community_1_subcommunity_2630
NZ_LR890601.1	community_1_subcommunity_2631
NZ_CP024490.1	community_1_subcommunity_2631
NZ_CP034047.1	community_1_subcommunity_2632
CP034055.1	community_1_subcommunity_2632
CP035909.1	community_1_subcommunity_2633
NZ_CP036194.1	community_1_subcommunity_2633
NC_016838.1	community_1_subcommunity_2634
NZ_CP021962.1	community_1_subcommunity_2634
NZ_CP016161.1	community_1_subcommunity_2635
NZ_CP015755.1	community_1_subcommunity_2635
NZ_CP024877.1	community_1_subcommunity_2636
NZ_CP063217.1	community_1_subcommunity_2636
NZ_CP080364.1	community_1_subcommunity_2637
NZ_CP041929.1	community_1_subcommunity_2637
NZ_CP044030.1	community_1_subcommunity_2638
NZ_LR890544.1	community_1_subcommunity_2638
NZ_CP050344.1	community_1_subcommunity_2639
NZ_CP050338.1	community_1_subcommunity_2639
NZ_CP055511.1	community_1_subcommunity_2640
NZ_CP056309.1	community_1_subcommunity_2640
NZ_LR890555.1	community_1_subcommunity_2641
NZ_CP063873.1	community_1_subcommunity_2641
NZ_CP063882.1	community_1_subcommunity_2642
NZ_LR890429.1	community_1_subcommunity_2642
NZ_CP079763.1	community_1_subcommunity_2643
NZ_CP075258.1	community_1_subcommunity_2643
NZ_LR890237.1	community_1_subcommunity_2644
CP064822.1	community_1_subcommunity_2644
CP018326.1	community_1_subcommunity_2645
NZ_CP071896.1	community_1_subcommunity_2645
CP064852.1	community_1_subcommunity_2646
NZ_CP028554.1	community_1_subcommunity_2646
NZ_CP026717.1	community_1_subcommunity_2647
NZ_CP027614.1	community_1_subcommunity_2647
NZ_CP077337.1	community_1_subcommunity_2649
NZ_CP077338.1	community_1_subcommunity_2649
NZ_CP032105.1	community_1_subcommunity_2650
CP019145.1	community_1_subcommunity_2650
NZ_CP020098.1	community_1_subcommunity_2651
NZ_CP032753.1	community_1_subcommunity_2651
CP042948.1	community_1_subcommunity_2652
NZ_CP024977.1	community_1_subcommunity_2652
NZ_MT230374.1	community_1_subcommunity_2653
NZ_MT230372.1	community_1_subcommunity_2653
CP057134.1	community_1_subcommunity_2653
NZ_CP034821.1	community_1_subcommunity_2653
NZ_CP035820.1	community_1_subcommunity_2654
NZ_CP035818.1	community_1_subcommunity_2654
NZ_CP070286.2	community_1_subcommunity_2655
NZ_CP070283.2	community_1_subcommunity_2655
NZ_MH450053.1	community_1_subcommunity_2656
NZ_MH450052.1	community_1_subcommunity_2656
NZ_CP039730.1	community_1_subcommunity_2657
NZ_MG640601.1	community_1_subcommunity_2657
NZ_CP041272.1	community_1_subcommunity_2658
NZ_CP041263.2	community_1_subcommunity_2658
NZ_CP044318.1	community_1_subcommunity_2659
NZ_MN831413.1	community_1_subcommunity_2659
NZ_OU016038.1	community_1_subcommunity_2660
NZ_OU015710.1	community_1_subcommunity_2660
CP035906.1	community_1_subcommunity_2661
NZ_CP036191.1	community_1_subcommunity_2661
CP073289.1	community_1_subcommunity_2662
NZ_CP072654.1	community_1_subcommunity_2662
MF943217.1	community_1_subcommunity_2663
NZ_CP028390.1	community_1_subcommunity_2663
CP024509.1	community_1_subcommunity_2664
NZ_CP065175.1	community_1_subcommunity_2664
NZ_CP050835.1	community_1_subcommunity_2665
NZ_CP080350.1	community_1_subcommunity_2665
CP073616.1	community_1_subcommunity_2666
NZ_CP070012.1	community_1_subcommunity_2666
NZ_LT795507.1	community_1_subcommunity_2667
NZ_LR025103.1	community_1_subcommunity_2667
CP077216.1	community_1_subcommunity_2668
CP077268.1	community_1_subcommunity_2668
NZ_CP023352.1	community_1_subcommunity_2669
NZ_LR882981.1	community_1_subcommunity_2669
NZ_CP016728.1	community_1_subcommunity_2671
NZ_CP016723.1	community_1_subcommunity_2671
NZ_MH587575.1	community_1_subcommunity_2673
NZ_KX086582.1	community_1_subcommunity_2673
NZ_KX957971.1	community_1_subcommunity_2674
NZ_CP025539.1	community_1_subcommunity_2674
NZ_KX957970.1	community_1_subcommunity_2675
NZ_KX957969.1	community_1_subcommunity_2675
NZ_FO834905.1	community_1_subcommunity_2676
NZ_LR792629.1	community_1_subcommunity_2676
CP031732.1	community_1_subcommunity_2677
CP065520.1	community_1_subcommunity_2677
NZ_CP027182.1	community_1_subcommunity_2680
NZ_CP027185.1	community_1_subcommunity_2680
NZ_CP019890.1	community_1_subcommunity_2682
NZ_MZ156800.1	community_1_subcommunity_2682
NZ_CP032059.1	community_1_subcommunity_2684
CP032501.1	community_1_subcommunity_2684
CP033558.1	community_1_subcommunity_2688
CP033547.1	community_1_subcommunity_2688
NZ_CP034049.1	community_1_subcommunity_2689
CP034057.1	community_1_subcommunity_2689
CP056543.1	community_1_subcommunity_2691
NZ_CP026270.1	community_1_subcommunity_2691
NZ_CP026760.1	community_1_subcommunity_2693
NZ_CP014747.1	community_1_subcommunity_2693
NC_014124.1	community_1_subcommunity_2695
NC_008275.1	community_1_subcommunity_2695
NZ_CP029091.1	community_1_subcommunity_2696
NZ_CP027167.1	community_1_subcommunity_2696
LS997975.1	community_1_subcommunity_2698
NZ_CP029996.1	community_1_subcommunity_2698
NZ_CP022136.1	community_1_subcommunity_2698
CP034708.1	community_1_subcommunity_2698
NZ_CP022036.1	community_1_subcommunity_2698
NC_019335.1	community_1_subcommunity_2698
NC_019336.1	community_1_subcommunity_2698
NZ_CP021842.1	community_1_subcommunity_2699
NZ_CP021846.1	community_1_subcommunity_2699
NZ_CP033093.1	community_1_subcommunity_2700
NZ_CP010164.1	community_1_subcommunity_2700
NZ_CP056225.1	community_1_subcommunity_2701
NZ_LR890319.1	community_1_subcommunity_2701
CP056499.1	community_1_subcommunity_2702
NZ_LR890729.1	community_1_subcommunity_2702
NZ_AP018832.1	community_1_subcommunity_2703
NZ_AP018835.1	community_1_subcommunity_2703
NZ_CP042546.1	community_1_subcommunity_2704
NZ_CP008842.1	community_1_subcommunity_2704
NZ_CP077412.1	community_1_subcommunity_2705
NZ_CP011587.1	community_1_subcommunity_2705
CP074282.1	community_1_subcommunity_2706
CP074277.1	community_1_subcommunity_2706
NC_019342.1	community_1_subcommunity_2707
NZ_CP022035.1	community_1_subcommunity_2707
NZ_CP048637.1	community_1_subcommunity_2708
NZ_CP048634.1	community_1_subcommunity_2708
LC605646.1	community_1_subcommunity_2710
LC605996.1	community_1_subcommunity_2710
NZ_CP060076.1	community_1_subcommunity_2713
CP058916.1	community_1_subcommunity_2713
NZ_LC532225.1	community_1_subcommunity_2716
NZ_LC532227.1	community_1_subcommunity_2716
NZ_CP047013.1	community_1_subcommunity_2717
CP042632.1	community_1_subcommunity_2717
NZ_MN101851.1	community_1_subcommunity_2718
NZ_MN101855.1	community_1_subcommunity_2718
NZ_CP010154.1	community_1_subcommunity_2720
NZ_CP059289.1	community_1_subcommunity_2720
NZ_CP072313.1	community_1_subcommunity_2721
CP044026.1	community_1_subcommunity_2721
NZ_CP068587.1	community_1_subcommunity_2722
NZ_CP068582.1	community_1_subcommunity_2722
NZ_CP024681.1	community_1_subcommunity_2723
NZ_LR890182.1	community_1_subcommunity_2723
CP049999.1	community_1_subcommunity_2725
CP049577.1	community_1_subcommunity_2725
CP052031.1	community_1_subcommunity_2725
CP051994.1	community_1_subcommunity_2725
NZ_MW390552.1	community_1_subcommunity_2726
NZ_MW390549.1	community_1_subcommunity_2726
NZ_CP048041.1	community_1_subcommunity_2728
NZ_CP026223.1	community_1_subcommunity_2728
NZ_CP057325.1	community_1_subcommunity_2729
NZ_CP057320.1	community_1_subcommunity_2729
NZ_MW390548.1	community_1_subcommunity_2730
NZ_MW390551.1	community_1_subcommunity_2730
NZ_CP028782.1	community_1_subcommunity_2731
NZ_LR890546.1	community_1_subcommunity_2731
NZ_CP034130.1	community_1_subcommunity_2732
NZ_CP034138.1	community_1_subcommunity_2732
NZ_CP026852.1	community_1_subcommunity_2734
CP056443.1	community_1_subcommunity_2734
NZ_CP025885.1	community_1_subcommunity_2735
NZ_LR883010.1	community_1_subcommunity_2735
NZ_MN699848.1	community_1_subcommunity_2736
NZ_CP056575.1	community_1_subcommunity_2736
CP074645.1	community_1_subcommunity_2737
CP074624.1	community_1_subcommunity_2737
CP057042.1	community_1_subcommunity_2738
CP057064.1	community_1_subcommunity_2738
NZ_CP060058.1	community_1_subcommunity_2739
NZ_CP060062.1	community_1_subcommunity_2739
CP057153.1	community_1_subcommunity_2740
NZ_CP030785.2	community_1_subcommunity_2740
CP057785.1	community_1_subcommunity_2741
CP057768.1	community_1_subcommunity_2741
NZ_CP077334.1	community_1_subcommunity_2742
NZ_CP009126.1	community_1_subcommunity_2742
CP056448.1	community_1_subcommunity_2743
CP056265.1	community_1_subcommunity_2743
CP056279.1	community_1_subcommunity_2744
NZ_CP030779.2	community_1_subcommunity_2744
NZ_CP058114.1	community_1_subcommunity_2745
LR890699.1	community_1_subcommunity_2745
CP057078.1	community_1_subcommunity_2746
CP057410.1	community_1_subcommunity_2746
NZ_CP080234.1	community_1_subcommunity_2747
NZ_CP080237.1	community_1_subcommunity_2747
NZ_MK079571.1	community_1_subcommunity_2749
NZ_MN319465.1	community_1_subcommunity_2749
NZ_CP070285.2	community_1_subcommunity_2750
NZ_CP070282.2	community_1_subcommunity_2750
NZ_CP010325.1	community_1_subcommunity_2751
CP060163.1	community_1_subcommunity_2751
NZ_CP009882.1	community_1_subcommunity_2752
CP060164.1	community_1_subcommunity_2752
NZ_CP028798.2	community_1_subcommunity_2753
CP061559.1	community_1_subcommunity_2753
NZ_CP029067.1	community_1_subcommunity_2754
NZ_CP025472.1	community_1_subcommunity_2754
NZ_CP068133.1	community_1_subcommunity_2755
NZ_CP023513.1	community_1_subcommunity_2755
CP070877.2	community_1_subcommunity_2757
CP070885.2	community_1_subcommunity_2757
NZ_CP045362.1	community_1_subcommunity_2758
NZ_CP045390.1	community_1_subcommunity_2758
NC_020822.1	community_1_subcommunity_2759
NZ_CP031186.1	community_1_subcommunity_2759
NZ_CP015967.1	community_1_subcommunity_2760
NZ_CP032650.1	community_1_subcommunity_2760
NZ_CP040591.1	community_1_subcommunity_2761
NZ_CP040588.1	community_1_subcommunity_2761
NZ_CP049155.1	community_1_subcommunity_2763
CP078107.1	community_1_subcommunity_2763
NZ_CP049152.1	community_1_subcommunity_2764
NZ_CP049149.1	community_1_subcommunity_2764
NZ_CP023307.1	community_1_subcommunity_2765
CP074423.1	community_1_subcommunity_2765
NZ_CP032340.1	community_1_subcommunity_2770
NZ_CP012915.1	community_1_subcommunity_2770
NZ_CP012916.1	community_1_subcommunity_2771
NZ_CP032341.1	community_1_subcommunity_2771
NZ_CP032343.1	community_1_subcommunity_2772
NZ_CP012917.1	community_1_subcommunity_2772
NZ_CP044010.1	community_1_subcommunity_2773
NZ_CP043499.1	community_1_subcommunity_2773
NZ_LR890687.1	community_1_subcommunity_2774
NZ_CP031796.1	community_1_subcommunity_2774
NZ_CP027615.1	community_1_subcommunity_2775
NZ_CP032196.1	community_1_subcommunity_2775
NZ_CP068974.1	community_1_subcommunity_2776
NZ_CP056375.1	community_1_subcommunity_2776
LR961956.1	community_1_subcommunity_2777
LR961974.1	community_1_subcommunity_2777
LR962651.1	community_1_subcommunity_2778
LR962677.1	community_1_subcommunity_2778
NZ_LT599052.1	community_1_subcommunity_2779
NZ_LT599053.1	community_1_subcommunity_2779
LR962220.1	community_1_subcommunity_2780
LR962260.1	community_1_subcommunity_2780
LR962498.1	community_1_subcommunity_2781
NZ_KT290268.1	community_1_subcommunity_2781
NC_004960.1	community_1_subcommunity_2782
LR962472.1	community_1_subcommunity_2782
LR962582.1	community_1_subcommunity_2784
LR962556.1	community_1_subcommunity_2784
LR962631.1	community_1_subcommunity_2785
LR962614.1	community_1_subcommunity_2785
NC_002798.1	community_1_subcommunity_2786
NZ_CP016750.1	community_1_subcommunity_2786
NC_003528.1	community_1_subcommunity_2787
NC_004532.1	community_1_subcommunity_2787
NZ_CP015624.1	community_1_subcommunity_2788
NC_004535.1	community_1_subcommunity_2788
NZ_CP075690.1	community_1_subcommunity_2789
NZ_LT963394.1	community_1_subcommunity_2789
NZ_AP024217.1	community_1_subcommunity_2790
NZ_AP024228.1	community_1_subcommunity_2790
NC_016644.1	community_1_subcommunity_2791
NC_007926.1	community_1_subcommunity_2791
NZ_CP007015.1	community_1_subcommunity_2792
NZ_KY362373.1	community_1_subcommunity_2792
NC_005918.1	community_1_subcommunity_2793
NZ_CP047262.1	community_1_subcommunity_2793
NZ_CP031227.1	community_1_subcommunity_2794
NZ_CP075688.1	community_1_subcommunity_2794
NZ_CP025503.1	community_1_subcommunity_2796
NC_019257.1	community_1_subcommunity_2796
NC_019688.1	community_1_subcommunity_2797
NZ_CP025502.1	community_1_subcommunity_2797
NZ_CP023413.1	community_1_subcommunity_2798
NZ_CP009558.1	community_1_subcommunity_2798
NC_008507.1	community_1_subcommunity_2799
NZ_CP034576.1	community_1_subcommunity_2799
NZ_CP035092.1	community_1_subcommunity_2800
NC_008688.1	community_1_subcommunity_2800
NC_012919.1	community_1_subcommunity_2801
NZ_MH548371.1	community_1_subcommunity_2801
NZ_CP017144.1	community_1_subcommunity_2803
NZ_CP060032.1	community_1_subcommunity_2803
NZ_CP022171.1	community_1_subcommunity_2803
NZ_CP049832.1	community_1_subcommunity_2803
NZ_CP022177.1	community_1_subcommunity_2803
NZ_CP022182.1	community_1_subcommunity_2803
NZ_KY555070.1	community_1_subcommunity_2804
NZ_CP038104.1	community_1_subcommunity_2804
NC_013657.1	community_1_subcommunity_2806
NZ_CP009055.1	community_1_subcommunity_2806
NZ_CP063060.1	community_1_subcommunity_2807
NZ_CP043574.1	community_1_subcommunity_2807
NZ_MT074087.1	community_1_subcommunity_2808
NZ_CP064947.1	community_1_subcommunity_2808
NZ_JN106352.1	community_1_subcommunity_2809
NC_010466.1	community_1_subcommunity_2809
NZ_CP027184.1	community_1_subcommunity_2810
NZ_CP027179.1	community_1_subcommunity_2810
NZ_CP064837.1	community_1_subcommunity_2812
NC_010901.1	community_1_subcommunity_2812
NC_011610.1	community_1_subcommunity_2813
NZ_CP009908.1	community_1_subcommunity_2813
NC_012923.1	community_1_subcommunity_2814
NZ_KX785328.1	community_1_subcommunity_2814
NC_013963.1	community_1_subcommunity_2816
NC_014557.1	community_1_subcommunity_2816
NZ_CP059416.1	community_1_subcommunity_2817
NZ_CP059424.1	community_1_subcommunity_2817
NZ_CP079951.1	community_1_subcommunity_2818
NZ_CP046364.1	community_1_subcommunity_2818
NZ_AP017399.1	community_1_subcommunity_2819
NC_016981.1	community_1_subcommunity_2819
NC_017019.1	community_1_subcommunity_2820
NZ_CP014939.1	community_1_subcommunity_2820
NC_017484.1	community_1_subcommunity_2821
NZ_CP065985.1	community_1_subcommunity_2821
NZ_CP077309.1	community_1_subcommunity_2822
NC_019049.1	community_1_subcommunity_2822
NZ_CP069929.1	community_1_subcommunity_2822
LR134132.1	community_1_subcommunity_2822
NC_021087.1	community_1_subcommunity_2823
NZ_KP099552.1	community_1_subcommunity_2823
NZ_MG516912.1	community_1_subcommunity_2824
NZ_CP045540.1	community_1_subcommunity_2824
NZ_CP066814.1	community_1_subcommunity_2825
NZ_CP068233.1	community_1_subcommunity_2825
NZ_CP071949.1	community_1_subcommunity_2826
NZ_CP071948.1	community_1_subcommunity_2826
NZ_LC589063.1	community_1_subcommunity_2827
NZ_LC155906.1	community_1_subcommunity_2827
NZ_LT985190.1	community_1_subcommunity_2828
NZ_CP026566.1	community_1_subcommunity_2828
NZ_AP023400.1	community_1_subcommunity_2829
NZ_AP024404.1	community_1_subcommunity_2829
NZ_CP071315.1	community_1_subcommunity_2830
NZ_CP031366.1	community_1_subcommunity_2830
NZ_CP050076.1	community_1_subcommunity_2832
NZ_KP873172.1	community_1_subcommunity_2832
NZ_CP068768.1	community_1_subcommunity_2835
NZ_CP071897.1	community_1_subcommunity_2835
NZ_CP035024.1	community_1_subcommunity_2836
NC_021234.2	community_1_subcommunity_2836
NZ_CP026506.1	community_1_subcommunity_2837
NZ_CP023491.1	community_1_subcommunity_2837
NZ_KY296095.1	community_1_subcommunity_2838
NZ_CP061851.1	community_1_subcommunity_2838
NZ_MN433456.1	community_1_subcommunity_2838
NZ_MH734334.1	community_1_subcommunity_2838
NZ_CP017784.1	community_1_subcommunity_2840
NZ_CP017783.1	community_1_subcommunity_2840
NZ_CP015420.1	community_1_subcommunity_2841
NZ_AP014801.1	community_1_subcommunity_2841
NZ_CP015422.1	community_1_subcommunity_2842
NZ_CP015419.1	community_1_subcommunity_2842
NZ_AP022340.1	community_1_subcommunity_2844
NZ_CP045387.1	community_1_subcommunity_2844
NZ_MN961666.1	community_1_subcommunity_2845
NZ_MN629346.1	community_1_subcommunity_2845
NZ_AP023451.1	community_1_subcommunity_2846
NZ_CP060739.1	community_1_subcommunity_2846
NZ_CP064317.1	community_1_subcommunity_2847
NZ_CP064315.1	community_1_subcommunity_2847
NZ_CP007126.1	community_1_subcommunity_2848
NZ_CP020097.1	community_1_subcommunity_2848
NZ_LN906635.1	community_1_subcommunity_2848
NZ_CP076826.1	community_1_subcommunity_2848
NZ_CP043384.1	community_1_subcommunity_2849
NZ_CP008900.1	community_1_subcommunity_2849
NZ_CP008919.1	community_1_subcommunity_2850
NZ_CP066072.1	community_1_subcommunity_2850
NZ_CP069290.1	community_1_subcommunity_2852
NZ_CP069289.1	community_1_subcommunity_2852
NZ_CP009921.1	community_1_subcommunity_2852
NZ_CP035095.1	community_1_subcommunity_2852
NZ_CP045394.1	community_1_subcommunity_2853
NZ_CP045411.1	community_1_subcommunity_2853
NZ_CP061046.1	community_1_subcommunity_2855
NZ_CP061051.1	community_1_subcommunity_2855
NZ_CP012273.1	community_1_subcommunity_2856
NZ_CP012286.1	community_1_subcommunity_2856
NZ_CP014903.1	community_1_subcommunity_2857
NZ_CP014877.1	community_1_subcommunity_2857
NZ_CP014624.1	community_1_subcommunity_2858
NZ_CP014893.1	community_1_subcommunity_2858
NZ_CP012878.1	community_1_subcommunity_2859
NZ_CP012655.1	community_1_subcommunity_2859
NZ_CP014612.1	community_1_subcommunity_2860
NZ_CP020734.1	community_1_subcommunity_2860
NZ_CP014986.1	community_1_subcommunity_2861
NZ_CP039709.1	community_1_subcommunity_2861
NZ_CP050548.1	community_1_subcommunity_2862
NZ_CP031211.1	community_1_subcommunity_2862
NZ_CP016601.1	community_1_subcommunity_2863
NZ_CP039738.1	community_1_subcommunity_2863
NZ_CP016727.1	community_1_subcommunity_2864
NZ_CP016721.1	community_1_subcommunity_2864
NZ_CP054717.1	community_1_subcommunity_2865
NZ_CP017584.1	community_1_subcommunity_2865
NZ_LT963413.1	community_1_subcommunity_2866
NZ_CP026559.1	community_1_subcommunity_2866
NZ_LT963399.1	community_1_subcommunity_2867
NZ_LT222314.1	community_1_subcommunity_2867
NZ_CP027566.1	community_1_subcommunity_2869
NZ_CP065974.1	community_1_subcommunity_2869
NZ_CP078135.1	community_1_subcommunity_2870
NZ_CP070848.1	community_1_subcommunity_2870
NZ_MK851047.1	community_1_subcommunity_2871
NZ_MK851048.1	community_1_subcommunity_2871
NZ_CP049599.1	community_1_subcommunity_2872
NZ_CP049784.1	community_1_subcommunity_2872
NZ_CP062864.1	community_1_subcommunity_2873
NZ_CP062909.1	community_1_subcommunity_2873
NZ_CP068182.1	community_1_subcommunity_2874
NZ_CP068177.1	community_1_subcommunity_2874
NZ_CP060814.1	community_1_subcommunity_2875
NZ_CP032118.1	community_1_subcommunity_2875
NZ_MW310586.1	community_1_subcommunity_2876
NZ_CP071299.1	community_1_subcommunity_2876
NZ_CP035567.1	community_1_subcommunity_2877
NZ_CP035115.1	community_1_subcommunity_2877
NZ_CP041294.1	community_1_subcommunity_2878
NZ_CP060815.1	community_1_subcommunity_2878
NZ_CP048682.1	community_1_subcommunity_2879
NZ_CP055280.1	community_1_subcommunity_2879
NZ_LR890610.1	community_1_subcommunity_2880
NZ_CP045280.1	community_1_subcommunity_2880
NZ_CP045391.1	community_1_subcommunity_2881
NZ_CP045363.1	community_1_subcommunity_2881
NZ_CP053812.1	community_1_subcommunity_2883
NZ_CP053815.1	community_1_subcommunity_2883
NZ_CP066134.1	community_1_subcommunity_2884
NZ_CP066131.1	community_1_subcommunity_2884
NZ_CP068080.1	community_1_subcommunity_2885
NZ_CP069581.1	community_1_subcommunity_2885
NZ_CP045255.1	community_1_subcommunity_2886
NZ_LC542974.1	community_1_subcommunity_2886
NZ_LC542923.1	community_1_subcommunity_2886
AP024124.1	community_1_subcommunity_2887
AP024127.1	community_1_subcommunity_2887
NZ_CP031707.1	community_1_subcommunity_2887
CP057164.1	community_1_subcommunity_2888
NZ_CP035752.1	community_1_subcommunity_2888
CP043759.1	community_1_subcommunity_2888
NZ_MT074415.1	community_1_subcommunity_2889
CP050997.1	community_1_subcommunity_2889
NZ_LR883011.1	community_1_subcommunity_2889
CP056609.1	community_1_subcommunity_2890
CP056903.1	community_1_subcommunity_2890
CP056614.1	community_1_subcommunity_2890
CP057120.1	community_1_subcommunity_2891
CP057997.1	community_1_subcommunity_2891
CP058094.1	community_1_subcommunity_2891
CP057588.1	community_1_subcommunity_2892
CP057124.1	community_1_subcommunity_2892
CP057604.1	community_1_subcommunity_2892
NZ_CP010241.1	community_1_subcommunity_2894
NZ_CP010120.1	community_1_subcommunity_2894
CP057474.1	community_1_subcommunity_2894
CP057902.1	community_1_subcommunity_2896
CP057912.1	community_1_subcommunity_2896
CP058084.1	community_1_subcommunity_2896
NZ_CP038413.1	community_1_subcommunity_2897
NZ_CP038338.1	community_1_subcommunity_2897
NC_009602.1	community_1_subcommunity_2897
NZ_CP010184.1	community_1_subcommunity_2898
NZ_CP010181.1	community_1_subcommunity_2898
NZ_CP011019.1	community_1_subcommunity_2898
NZ_MW651979.1	community_1_subcommunity_2899
NZ_CP011916.1	community_1_subcommunity_2899
NZ_CP063370.1	community_1_subcommunity_2899
NZ_CP027200.1	community_1_subcommunity_2900
NZ_CP038455.1	community_1_subcommunity_2900
NZ_CP020510.1	community_1_subcommunity_2900
NZ_CP041430.1	community_1_subcommunity_2903
NZ_CP041432.1	community_1_subcommunity_2903
NZ_CP041434.1	community_1_subcommunity_2903
NZ_CP059282.1	community_1_subcommunity_2904
NZ_CP059280.1	community_1_subcommunity_2904
NZ_CP070097.1	community_1_subcommunity_2904
NZ_CP063154.1	community_1_subcommunity_2905
NZ_CP061340.1	community_1_subcommunity_2905
NZ_CP061338.1	community_1_subcommunity_2905
NZ_CP027196.1	community_1_subcommunity_2906
NZ_CP028337.1	community_1_subcommunity_2906
NZ_CP053342.1	community_1_subcommunity_2906
AP019851.1	community_1_subcommunity_2907
AP024167.1	community_1_subcommunity_2907
NZ_LC081338.1	community_1_subcommunity_2907
NZ_CP032189.1	community_1_subcommunity_2909
NZ_CP012566.1	community_1_subcommunity_2909
NZ_CP012571.1	community_1_subcommunity_2909
NZ_CP054401.1	community_1_subcommunity_2910
NZ_CP054404.1	community_1_subcommunity_2910
NZ_CP054398.1	community_1_subcommunity_2910
NC_011743.1	community_1_subcommunity_2911
CP043758.1	community_1_subcommunity_2911
NZ_CP066086.1	community_1_subcommunity_2911
NZ_CP068690.1	community_1_subcommunity_2914
NZ_CP068685.1	community_1_subcommunity_2914
NZ_CP068707.1	community_1_subcommunity_2914
NZ_CP017850.1	community_1_subcommunity_2917
NZ_CP017285.1	community_1_subcommunity_2917
NZ_CP017283.1	community_1_subcommunity_2917
NZ_LC589514.1	community_1_subcommunity_2918
NZ_MN175388.1	community_1_subcommunity_2918
NZ_MF190369.1	community_1_subcommunity_2918
CP057947.1	community_1_subcommunity_2919
CP057928.1	community_1_subcommunity_2919
CP057029.1	community_1_subcommunity_2919
CP057138.1	community_1_subcommunity_2921
CP057471.1	community_1_subcommunity_2921
CP057524.1	community_1_subcommunity_2921
NC_010862.1	community_1_subcommunity_2922
NZ_CP059841.1	community_1_subcommunity_2922
NC_011603.1	community_1_subcommunity_2922
NZ_CP012170.1	community_1_subcommunity_2923
NZ_CP055552.1	community_1_subcommunity_2923
NZ_CP031568.1	community_1_subcommunity_2923
NZ_CP050507.1	community_1_subcommunity_2924
NZ_CP050312.1	community_1_subcommunity_2924
NZ_CP016526.1	community_1_subcommunity_2924
NZ_CP042494.1	community_1_subcommunity_2925
NZ_CP042506.1	community_1_subcommunity_2925
NZ_CP042525.1	community_1_subcommunity_2925
NZ_KM396300.1	community_1_subcommunity_2928
NZ_KM396298.1	community_1_subcommunity_2928
NZ_KM396299.1	community_1_subcommunity_2928
CP057972.1	community_1_subcommunity_2930
NZ_CP057464.1	community_1_subcommunity_2930
NZ_CP024481.1	community_1_subcommunity_2930
NC_016904.1	community_1_subcommunity_2931
NC_017637.1	community_1_subcommunity_2931
NC_017665.1	community_1_subcommunity_2931
CP027378.1	community_1_subcommunity_2935
NZ_CP075655.1	community_1_subcommunity_2935
NZ_CP075854.1	community_1_subcommunity_2935
NZ_CP009107.1	community_1_subcommunity_2936
